Date/Time,Temp_C,Dew Point Temp_C,Rel Hum_%,Wind Speed_km/h,Visibility_km,Press_kPa,Weather Condition
3/21/2012 12:00,22.3,12.6,54,15,24.1,101.94,Clear
3/21/2012 13:00,23.8,12.1,48,17,24.1,101.85,Clear
3/21/2012 14:00,24.7,12.1,45,13,24.1,101.77,Clear
3/21/2012 15:00,25.4,12.0,43,17,48.3,101.72,Clear
3/21/2012 16:00,25.5,11.0,40,17,48.3,101.69,Clear
3/21/2012 17:00,25.2,10.7,40,13,48.3,101.68,Clear
3/21/2012 18:00,20.7,9.7,49,9,48.3,101.67,Clear
3/21/2012 19:00,17.2,9.1,59,6,25.0,101.67,Clear
3/21/2012 20:00,18.4,8.9,54,7,25.0,101.7,Clear
3/21/2012 21:00,16.4,9.7,65,13,25.0,101.68,Clear
3/21/2012 22:00,18.0,10.5,62,7,25.0,101.66,Clear
3/21/2012 23:00,16.5,9.5,63,7,25.0,101.66,Clear
3/22/2012 0:00,17.0,9.1,60,13,25.0,101.63,Clear
3/22/2012 1:00,15.5,8.7,64,11,25.0,101.62,Clear
3/22/2012 2:00,15.0,8.7,66,7,25.0,101.59,Clear
3/22/2012 3:00,11.0,7.4,78,9,25.0,101.56,Clear
3/22/2012 4:00,13.2,8.4,73,6,25.0,101.54,Clear
3/22/2012 5:00,12.8,8.5,75,13,25.0,101.59,Clear
3/22/2012 23:00,11.3,7.2,76,6,25.0,101.62,Clear
3/23/2012 4:00,9.2,6.3,82,7,25.0,101.76,Clear
3/23/2012 5:00,8.0,5.2,82,9,25.0,101.85,Clear
3/23/2012 6:00,6.6,2.9,77,7,25.0,101.9,Clear
3/23/2012 7:00,8.4,3.0,69,0,48.3,101.93,Clear
3/23/2012 8:00,11.3,1.8,52,0,48.3,101.93,Clear
3/23/2012 9:00,12.8,2.3,49,4,48.3,101.94,Clear
3/23/2012 10:00,14.5,0.1,37,17,48.3,101.93,Clear
3/23/2012 11:00,14.9,-3.0,29,15,48.3,101.87,Clear
